feature_set,group,count,mean,median,std,min,max,q25,q75,IQR
ablate_top__additional_A_count,actual_normal,65780,0.006840917910238673,0.0040694574689655325,0.014984980724241896,0.0,0.2009884697724109,0.0,0.009861268358553449,0.009861268358553449
ablate_top__additional_A_count,actual_attack,16445,0.3398944162601841,0.11284990377969209,0.35020380155727,0.003520583028275152,0.979628481862298,0.10392141806866632,0.5290439883471115,0.4251225702784452
ablate_top__additional_A_count,TP,7262,0.6894790613561563,0.5290439883471115,0.23585678425084536,0.4430244154050419,0.979628481862298,0.4480246909297093,0.9597188035882778,0.5116941126585685
ablate_top__additional_A_count,FN,9183,0.063439696377036,0.10392141806866632,0.05059297483095748,0.003520583028275152,0.13152273903241019,0.007383906742501323,0.10392141806866632,0.096537511326165
ablate_top__additional_A_count,FP,0,,,,,,,,
ablate_top__additional_A_count,TN,65780,0.006840917910238673,0.0040694574689655325,0.014984980724241896,0.0,0.2009884697724109,0.0,0.009861268358553449,0.009861268358553449
ablate_top__unique_record_name_count,actual_normal,65780,0.002584976929194426,0.0,0.010095876638761119,0.0,0.15751656477878576,0.0,0.0006222913692661763,0.0006222913692661763
ablate_top__unique_record_name_count,actual_attack,16445,0.36851743951198696,0.125,0.3676150516946352,0.0,0.9989555765183336,0.125,0.6239561947069064,0.49895619470690644
ablate_top__unique_record_name_count,TP,7262,0.7447857619850139,0.6239561947069064,0.21767058755546953,0.49395557651833366,0.9989555765183336,0.49895612931836775,0.9939561293183676,0.4949999999999999
ablate_top__unique_record_name_count,FN,9183,0.07096102463676954,0.125,0.0635020667304419,0.0,0.15751656477878576,0.0,0.125,0.125
ablate_top__unique_record_name_count,FP,0,,,,,,,,
ablate_top__unique_record_name_count,TN,65780,0.002584976929194426,0.0,0.010095876638761119,0.0,0.15751656477878576,0.0,0.0006222913692661763,0.0006222913692661763
ablate_top__additional_out_of_bailiwick_count,actual_normal,65780,0.0029787189747647394,0.0003628886765137286,0.010375448751997283,0.0,0.13036143943710757,0.0,0.0017608847763321762,0.0017608847763321762
ablate_top__additional_out_of_bailiwick_count,actual_attack,16445,0.3441818496430508,0.02036288867651373,0.39696203209690056,0.0003628886765137286,0.995714128320475,0.02036288867651373,0.6589539974155991,0.6385911087390854
ablate_top__additional_out_of_bailiwick_count,TP,7262,0.7642484750691743,0.6589539974155991,0.20172070502190592,0.5289516060303884,0.995714128320475,0.5289540018813943,0.9943171756178757,0.4653631737364814
ablate_top__additional_out_of_bailiwick_count,FN,9183,0.011989338062466277,0.02036288867651373,0.010347635981986684,0.0003628886765137286,0.05052981579246248,0.0003628886765137286,0.02036288867651373,0.02
ablate_top__additional_out_of_bailiwick_count,FP,0,,,,,,,,
ablate_top__additional_out_of_bailiwick_count,TN,65780,0.0029787189747647394,0.0003628886765137286,0.010375448751997283,0.0,0.13036143943710757,0.0,0.0017608847763321762,0.0017608847763321762
ablate_top__record_total,actual_normal,65780,0.00552781946291274,0.0033934266052454616,0.011260152833027863,0.0,0.15389842520619507,0.0031813358510746344,0.003908646820164978,0.0007273109690903432
ablate_top__record_total,actual_attack,16445,0.36816145196460853,0.0736091656133214,0.3898670624359397,0.0,0.9965548864255982,0.06318133585107463,0.7338085251953977,0.6706271893443231
ablate_top__record_total,TP,7262,0.782423755852584,0.7338085251953977,0.18771425101641348,0.5247771150284986,0.9965548864255982,0.5365519852768267,0.981775359399802,0.4452233741229753
ablate_top__record_total,FN,9183,0.04055905069765026,0.06606373316423247,0.035801051221833934,0.0,0.09153605014563922,0.00042782976224675694,0.0736091656133214,0.07318133585107464
ablate_top__record_total,FP,0,,,,,,,,
ablate_top__record_total,TN,65780,0.00552781946291274,0.0033934266052454616,0.011260152833027863,0.0,0.15389842520619507,0.0031813358510746344,0.003908646820164978,0.0007273109690903432
ablate_top__answer_A_count,actual_normal,65780,0.005343704486552721,0.003512027749687301,0.016165349714805072,0.0,0.19527209385920016,0.003026332522613053,0.004475049291147186,0.001448716768534133
ablate_top__answer_A_count,actual_attack,16445,0.3766056102104277,0.06877029607055694,0.39136188573120473,0.0037702960705569503,0.9926069496823691,0.06377029607055695,0.7227067891295844,0.6589364930590275
ablate_top__answer_A_count,TP,7262,0.8009824687965975,0.7277055997052427,0.1513542155425506,0.6254976913655158,0.9926069496823691,0.6324935089510719,0.9682396388756912,0.3357461299246193
ablate_top__answer_A_count,FN,9183,0.041004527007469656,0.06877029607055694,0.033291040077942875,0.0037702960705569503,0.08528738082028749,0.0037702960705569503,0.06877029607055694,0.06499999999999999
ablate_top__answer_A_count,FP,0,,,,,,,,
ablate_top__answer_A_count,TN,65780,0.005343704486552721,0.003512027749687301,0.016165349714805072,0.0,0.19527209385920016,0.003026332522613053,0.004475049291147186,0.001448716768534133
ablate_top__dns_count_add_rr,actual_normal,65780,0.006443994605283275,0.003609165613321391,0.013119628875422383,0.0,0.1927667111530108,0.00318286860084143,0.007816379205655578,0.004633510604814147
ablate_top__dns_count_add_rr,actual_attack,16445,0.3615953420945584,0.0886091656133214,0.3756970622907433,0.0003734172553161449,0.9965565285767107,0.07318133585107463,0.6388105173376917,0.565629181486617
ablate_top__dns_count_add_rr,TP,7262,0.7562120027863292,0.6388105173376917,0.19638157847309395,0.5317731975313074,0.9965565285767107,0.5417733533545921,0.9809842151432487,0.43921086178865665
ablate_top__dns_count_add_rr,FN,9183,0.049528894316747445,0.08106373316423249,0.04157443329121893,0.0003734172553161449,0.1105415482629592,0.004635043354580945,0.08781637920565558,0.08318133585107464
ablate_top__dns_count_add_rr,FP,0,,,,,,,,
ablate_top__dns_count_add_rr,TN,65780,0.006443994605283275,0.003609165613321391,0.013119628875422383,0.0,0.1927667111530108,0.00318286860084143,0.007816379205655578,0.004633510604814147
ablate_top__dns_count_answers,actual_normal,65780,0.004698475745876235,0.0024436272491396138,0.014380521093814484,0.0,0.20942429957846798,0.001023070028774125,0.004124385828240908,0.0031013157994667826
ablate_top__dns_count_answers,actual_attack,16445,0.35603021468531726,0.08123880903685006,0.37460270307847937,0.0004278297622467572,0.9904516091515867,0.07556056743231049,0.6038092041313183,0.5282486366990078
ablate_top__dns_count_answers,TP,7262,0.7491294018451593,0.6038092041313183,0.19755317630240266,0.5515963270787513,0.9904516091515867,0.558590950309149,0.9796200523713285,0.4210291020621796
ablate_top__dns_count_answers,FN,9183,0.045163798791298636,0.07707251793779592,0.039824210070192746,0.0004278297622467572,0.108947837213963,0.0004278297622467572,0.08123880903685006,0.0808109792746033
ablate_top__dns_count_answers,FP,0,,,,,,,,
ablate_top__dns_count_answers,TN,65780,0.004698475745876235,0.0024436272491396138,0.014380521093814484,0.0,0.20942429957846798,0.001023070028774125,0.004124385828240908,0.0031013157994667826
ablate_top__additional_AAAA_count,actual_normal,65780,0.003168143892524008,0.0010431249463524347,0.00976513168897406,0.0,0.1310400831041457,0.0,0.0016629314079485442,0.0016629314079485442
ablate_top__additional_AAAA_count,actual_attack,16445,0.3533355315075078,0.05,0.3897738459945844,0.0,0.9989544940436079,0.05,0.663954933200896,0.613954933200896
ablate_top__additional_AAAA_count,TP,7262,0.7642123417153991,0.663954933200896,0.20221108999550416,0.5189547270544113,0.9989544940436079,0.5289547270544113,0.9939550113159157,0.4650002842615044
ablate_top__additional_AAAA_count,FN,9183,0.028410409463545394,0.05,0.02525970091451936,0.0,0.06826129197259621,0.0,0.05,0.05
ablate_top__additional_AAAA_count,FP,0,,,,,,,,
ablate_top__additional_AAAA_count,TN,65780,0.003168143892524008,0.0010431249463524347,0.00976513168897406,0.0,0.1310400831041457,0.0,0.0016629314079485442,0.0016629314079485442
ablate_top__answer_record_count,actual_normal,65780,0.005982060395863916,0.003908646820164978,0.014560150877684135,0.0,0.19890713620646175,0.0031813358510746344,0.005012913216284858,0.0018315773652102236
ablate_top__answer_record_count,actual_attack,16445,0.3564402387832803,0.0686091656133214,0.3802208684011953,0.0,0.9933866563383887,0.06360916561332139,0.6335966453005188,0.5699874796871974
ablate_top__answer_record_count,TP,7262,0.7585918173796757,0.6335966453005188,0.19049895931550395,0.5567743328976883,0.9933866563383887,0.5667726980463589,0.9769902119249966,0.4102175138786377
ablate_top__answer_record_count,FN,9183,0.03841510933026697,0.0686091656133214,0.03390020370645863,0.0,0.08621571410414659,0.0004278297622467571,0.0686091656133214,0.06818133585107464
ablate_top__answer_record_count,FP,0,,,,,,,,
ablate_top__answer_record_count,TN,65780,0.005982060395863916,0.003908646820164978,0.014560150877684135,0.0,0.19890713620646175,0.0031813358510746344,0.005012913216284858,0.0018315773652102236
add_back_dropped__ip_len,actual_normal,65780,0.002591020099222309,0.0,0.018473334497286224,0.0,0.21,0.0,0.0,0.0
add_back_dropped__ip_len,actual_attack,16445,0.34703519368095215,0.115,0.3560923102648709,0.0,0.9999989305042848,0.115,0.50499859253154,0.38999859253154
add_back_dropped__ip_len,TP,7262,0.7018943087690512,0.50499859253154,0.23889780632077381,0.4849979995522196,0.9999989305042848,0.4899979995522196,0.97499922618198,0.48500122662976036
add_back_dropped__ip_len,FN,9183,0.06640937491042238,0.115,0.06003193033017508,0.0,0.155,0.0,0.115,0.115
add_back_dropped__ip_len,FP,0,,,,,,,,
add_back_dropped__ip_len,TN,65780,0.002591020099222309,0.0,0.018473334497286224,0.0,0.21,0.0,0.0,0.0
add_back_dropped__frame_cap_len,actual_normal,65780,0.0027653892083740273,0.0,0.01980248482747859,0.0,0.21,0.0,0.0,0.0
add_back_dropped__frame_cap_len,actual_attack,16445,0.34703519368095215,0.115,0.3560923102648709,0.0,0.9999989305042848,0.115,0.50499859253154,0.38999859253154
add_back_dropped__frame_cap_len,TP,7262,0.7018943087690512,0.50499859253154,0.23889780632077381,0.4849979995522196,0.9999989305042848,0.4899979995522196,0.97499922618198,0.48500122662976036
add_back_dropped__frame_cap_len,FN,9183,0.06640937491042238,0.115,0.06003193033017508,0.0,0.155,0.0,0.115,0.115
add_back_dropped__frame_cap_len,FP,0,,,,,,,,
add_back_dropped__frame_cap_len,TN,65780,0.0027653892083740273,0.0,0.01980248482747859,0.0,0.21,0.0,0.0,0.0
add_back_dropped__udp_length,actual_normal,65780,0.002591020099222309,0.0,0.018473334497286224,0.0,0.21,0.0,0.0,0.0
add_back_dropped__udp_length,actual_attack,16445,0.34703519368095215,0.115,0.3560923102648709,0.0,0.9999989305042848,0.115,0.50499859253154,0.38999859253154
add_back_dropped__udp_length,TP,7262,0.7018943087690512,0.50499859253154,0.23889780632077381,0.4849979995522196,0.9999989305042848,0.4899979995522196,0.97499922618198,0.48500122662976036
add_back_dropped__udp_length,FN,9183,0.06640937491042238,0.115,0.06003193033017508,0.0,0.155,0.0,0.115,0.115
add_back_dropped__udp_length,FP,0,,,,,,,,
add_back_dropped__udp_length,TN,65780,0.002591020099222309,0.0,0.018473334497286224,0.0,0.21,0.0,0.0,0.0
add_back_dropped__src_port,actual_normal,65780,0.01903568880200402,0.0,0.06393069145438239,0.0,0.3699995060853617,0.0,0.001893045488450514,0.001893045488450514
add_back_dropped__src_port,actual_attack,16445,0.5140671245433533,0.32,0.27470313503004784,0.235,0.9999980163027494,0.28854743808516303,0.6699987578603037,0.3814513197751407
add_back_dropped__src_port,TP,12262,0.6002984536179288,0.6299989064385375,0.2682199763762482,0.3,0.9999980163027494,0.32,0.7168849139966078,0.3968849139966078
add_back_dropped__src_port,FN,4183,0.26128955889371336,0.265,0.009231311908516568,0.235,0.29854743808516304,0.26,0.265,0.0050000000000000044
add_back_dropped__src_port,FP,462,0.3149974012615859,0.30689304548845053,0.017526346171500052,0.3,0.3699995060853617,0.3,0.3218930454884505,0.021893045488450502
add_back_dropped__src_port,TN,65318,0.016942325392892796,0.0,0.05907560643139318,0.0,0.29854743808516304,0.0,0.001893045488450514,0.001893045488450514
add_back_dropped__query_name_len,actual_normal,65780,0.005498203327015694,0.0,0.021209560438584095,0.0,0.22237042369665802,0.0,0.000621603625088882,0.000621603625088882
add_back_dropped__query_name_len,actual_attack,16445,0.3863991734361475,0.137370423696658,0.3455558005152495,0.050035058616037624,0.997319751070011,0.11858249670120065,0.5999174460980548,0.4813349493968541
add_back_dropped__query_name_len,TP,7262,0.74416746006423,0.5999174460980548,0.1984483809692769,0.5446260181463868,0.997319751070011,0.5449828230300345,0.9723204926275654,0.42733766959753083
add_back_dropped__query_name_len,FN,9183,0.1034727553273448,0.137370423696658,0.03764191444817077,0.050035058616037624,0.15003900207818557,0.06237042369665799,0.137370423696658,0.07500000000000001
add_back_dropped__query_name_len,FP,0,,,,,,,,
add_back_dropped__query_name_len,TN,65780,0.005498203327015694,0.0,0.021209560438584095,0.0,0.22237042369665802,0.0,0.000621603625088882,0.000621603625088882
add_back_dropped__query_entropy,actual_normal,65780,0.006506766506153448,0.0,0.023987499413734775,0.0,0.25456562724308474,0.0,0.000621603625088882,0.000621603625088882
add_back_dropped__query_entropy,actual_attack,16445,0.4045929327514711,0.14457590583708765,0.34398176924707613,0.07000016251868033,0.9995324537126941,0.14457590583708765,0.6418140630425433,0.4972381572054556
add_back_dropped__query_entropy,TP,7262,0.7664427781437539,0.6418142248094384,0.17945689061173015,0.5818138288304593,0.9995324537126941,0.5893244112346309,0.9718142140706294,0.38248980283599854
add_back_dropped__query_entropy,FN,9183,0.11843878081433099,0.14457590583708765,0.031441860409063084,0.07000016251868033,0.1745293381595193,0.08457590583708767,0.14457590583708765,0.059999999999999984
add_back_dropped__query_entropy,FP,0,,,,,,,,
add_back_dropped__query_entropy,TN,65780,0.006506766506153448,0.0,0.023987499413734775,0.0,0.25456562724308474,0.0,0.000621603625088882,0.000621603625088882
add_back_dropped__query_label_count,actual_normal,65780,0.004779206110908675,0.0,0.019402679262552663,0.0,0.205,0.0,0.000621603625088882,0.000621603625088882
add_back_dropped__query_label_count,actual_attack,16445,0.3788803339044964,0.1199532512664875,0.3567258407653762,0.04,0.9999515387269033,0.115,0.6149990290179701,0.4999990290179701
add_back_dropped__query_label_count,TP,7262,0.7513877137608598,0.6149990290179701,0.1943535151268759,0.5449828230300345,0.9999515387269033,0.5549995056931109,0.9749990290179703,0.41999952332485946
add_back_dropped__query_label_count,FN,9183,0.0842981066893257,0.115,0.038634560751003584,0.04,0.14990455668760222,0.04,0.115,0.07500000000000001
add_back_dropped__query_label_count,FP,0,,,,,,,,
add_back_dropped__query_label_count,TN,65780,0.004779206110908675,0.0,0.019402679262552663,0.0,0.205,0.0,0.000621603625088882,0.000621603625088882
add_back_dropped__ttl_mean,actual_normal,65780,0.002684700799216076,0.0,0.013191129338853844,0.0,0.2237771706998072,0.0,0.0,0.0
add_back_dropped__ttl_mean,actual_attack,16445,0.26816764227975554,0.055,0.2899175423684782,0.0,0.9884340324985016,0.043547438085163016,0.4149991605018638,0.37145172241670077
add_back_dropped__ttl_mean,TP,7262,0.5662252672894427,0.5728265453911578,0.17396180995931718,0.39499776999279024,0.9884340324985016,0.4099991605018638,0.6949991605018637,0.2849999999999999
