feature_set,feature,importance
ablate_top__unique_record_name_count,has_authority,3.337571993051815e-05
ablate_top__unique_record_name_count,has_answer,3.0656439488445215e-05
ablate_top__unique_record_name_count,dns_flags_rcode,5.529584637449604e-06
ablate_top__unique_record_name_count,ip_ttl,2.6100865285990514e-06
ablate_top__unique_record_name_count,ip_proto,0.0
ablate_top__unique_record_name_count,tcp_len,0.0
ablate_top__unique_record_name_count,dst_port,0.0
ablate_top__unique_record_name_count,dns_flags_authoritative,0.0
ablate_top__unique_record_name_count,dns_flags_truncated,0.0
ablate_top__unique_record_name_count,dns_flags_recdesired,0.0
ablate_top__unique_record_name_count,dns_flags_recavail,0.0
ablate_top__unique_record_name_count,dns_count_queries,0.0
ablate_top__unique_record_name_count,answer_NS_count,0.0
ablate_top__unique_record_name_count,authority_NS_count,0.0
ablate_top__unique_record_name_count,additional_NS_count,0.0
ablate_top__unique_record_name_count,additional_CNAME_count,0.0
ablate_top__unique_record_name_count,has_additional,0.0
ablate_top__unique_record_name_count,has_authority_NS,0.0
add_back_dropped__frame_cap_len,has_additional_A,0.19049972542511218
add_back_dropped__frame_cap_len,additional_A_count,0.15821100511000494
add_back_dropped__frame_cap_len,unique_record_name_count,0.15115678999858928
add_back_dropped__frame_cap_len,additional_out_of_bailiwick_count,0.12158322918896011
add_back_dropped__frame_cap_len,frame_len,0.09470339045239295
add_back_dropped__frame_cap_len,frame_cap_len,0.08675881517405032
add_back_dropped__frame_cap_len,dns_id,0.0468487492609403
add_back_dropped__frame_cap_len,record_total,0.04090445147981473
add_back_dropped__frame_cap_len,answer_A_count,0.02050147248629546
add_back_dropped__frame_cap_len,ttl_std,0.0164238623725444
add_back_dropped__frame_cap_len,additional_record_count,0.015144068465455473
add_back_dropped__frame_cap_len,dns_count_add_rr,0.014669393856028407
add_back_dropped__frame_cap_len,additional_AAAA_count,0.012486873500226753
add_back_dropped__frame_cap_len,answer_record_count,0.012372903574093297
add_back_dropped__frame_cap_len,answer_CNAME_count,0.0074094795576156855
add_back_dropped__frame_cap_len,dns_count_answers,0.006256957579792278
add_back_dropped__frame_cap_len,answer_AAAA_count,0.00344106123127709
add_back_dropped__frame_cap_len,answer_matches_query_count,0.0004962868203749331
add_back_dropped__frame_cap_len,has_answer,7.582878370530182e-05
add_back_dropped__frame_cap_len,has_authority,2.5757350659474047e-05
add_back_dropped__frame_cap_len,authority_SOA_count,1.0999515021400216e-05
add_back_dropped__frame_cap_len,dns_flags_rcode,1.0640059467524399e-05
add_back_dropped__frame_cap_len,authority_record_count,7.035970825315735e-06
add_back_dropped__frame_cap_len,ip_ttl,1.2227867473196258e-06
add_back_dropped__frame_cap_len,dns_count_auth_rr,5.098989096636842e-15
add_back_dropped__frame_cap_len,ip_proto,0.0
add_back_dropped__frame_cap_len,tcp_len,0.0
add_back_dropped__frame_cap_len,dst_port,0.0
add_back_dropped__frame_cap_len,dns_flags_authoritative,0.0
add_back_dropped__frame_cap_len,dns_flags_truncated,0.0
add_back_dropped__frame_cap_len,dns_flags_recdesired,0.0
add_back_dropped__frame_cap_len,dns_flags_recavail,0.0
add_back_dropped__frame_cap_len,dns_count_queries,0.0
add_back_dropped__frame_cap_len,answer_NS_count,0.0
add_back_dropped__frame_cap_len,authority_NS_count,0.0
add_back_dropped__frame_cap_len,additional_NS_count,0.0
add_back_dropped__frame_cap_len,additional_CNAME_count,0.0
add_back_dropped__frame_cap_len,has_additional,0.0
add_back_dropped__frame_cap_len,has_authority_NS,0.0
add_back_dropped__ip_len,has_additional_A,0.19049972542511218
add_back_dropped__ip_len,additional_A_count,0.15821100511000494
add_back_dropped__ip_len,unique_record_name_count,0.15115678999858928
add_back_dropped__ip_len,additional_out_of_bailiwick_count,0.12158322918896011
add_back_dropped__ip_len,frame_len,0.09470339045239295
add_back_dropped__ip_len,ip_len,0.08675881517405032
add_back_dropped__ip_len,dns_id,0.0468487492609403
add_back_dropped__ip_len,record_total,0.04090445147981473
add_back_dropped__ip_len,answer_A_count,0.02050147248629546
add_back_dropped__ip_len,ttl_std,0.0164238623725444
add_back_dropped__ip_len,additional_record_count,0.015144068465455473
add_back_dropped__ip_len,dns_count_add_rr,0.014669393856028407
add_back_dropped__ip_len,additional_AAAA_count,0.012486873500226753
add_back_dropped__ip_len,answer_record_count,0.012372903574093297
add_back_dropped__ip_len,answer_CNAME_count,0.0074094795576156855
add_back_dropped__ip_len,dns_count_answers,0.006256957579792278
add_back_dropped__ip_len,answer_AAAA_count,0.00344106123127709
add_back_dropped__ip_len,answer_matches_query_count,0.0004962868203749331
add_back_dropped__ip_len,has_answer,7.582878370530182e-05
add_back_dropped__ip_len,has_authority,2.5757350659474047e-05
add_back_dropped__ip_len,authority_SOA_count,1.0999515021400216e-05
add_back_dropped__ip_len,dns_flags_rcode,1.0640059467524399e-05
add_back_dropped__ip_len,authority_record_count,7.035970825315735e-06
add_back_dropped__ip_len,ip_ttl,1.2227867473196258e-06
add_back_dropped__ip_len,dns_count_auth_rr,5.098989096636842e-15
add_back_dropped__ip_len,ip_proto,0.0
add_back_dropped__ip_len,tcp_len,0.0
add_back_dropped__ip_len,dst_port,0.0
add_back_dropped__ip_len,dns_flags_authoritative,0.0
add_back_dropped__ip_len,dns_flags_truncated,0.0
add_back_dropped__ip_len,dns_flags_recdesired,0.0
add_back_dropped__ip_len,dns_flags_recavail,0.0
add_back_dropped__ip_len,dns_count_queries,0.0
add_back_dropped__ip_len,answer_NS_count,0.0
add_back_dropped__ip_len,authority_NS_count,0.0
add_back_dropped__ip_len,additional_NS_count,0.0
add_back_dropped__ip_len,additional_CNAME_count,0.0
add_back_dropped__ip_len,has_additional,0.0
add_back_dropped__ip_len,has_authority_NS,0.0
add_back_dropped__query_entropy,query_entropy,0.20880332344603741
add_back_dropped__query_entropy,has_additional_A,0.1625409252176525
add_back_dropped__query_entropy,unique_record_name_count,0.1322860690149254
add_back_dropped__query_entropy,additional_A_count,0.12503148781242915
add_back_dropped__query_entropy,additional_out_of_bailiwick_count,0.09418899043236607
add_back_dropped__query_entropy,frame_len,0.09035697518354129
add_back_dropped__query_entropy,dns_id,0.04494409844799698
add_back_dropped__query_entropy,record_total,0.03836706055723512
add_back_dropped__query_entropy,answer_A_count,0.021067027874978606
add_back_dropped__query_entropy,dns_count_add_rr,0.016301596946480815
add_back_dropped__query_entropy,ttl_std,0.014732984933962938
add_back_dropped__query_entropy,answer_record_count,0.012358735353718184
add_back_dropped__query_entropy,additional_record_count,0.011680682186504114
add_back_dropped__query_entropy,additional_AAAA_count,0.011191927463536868
add_back_dropped__query_entropy,answer_CNAME_count,0.006877241336090189
add_back_dropped__query_entropy,dns_count_answers,0.0052496542131421995
